"","plot_i","sp_i","level_used","sample_size"
"752","TAM-06","Sloanea stipitata","d","32"
"753","PAN-03","Persea peruviana","d","27"
"754","SPD-02","Quararibea wittii","f","6"
"755","TAM-06","Drypetes amazonica","h","3"
"756","SPD-02","Casearia indet","h","22"
"757","TAM-05","Pouteria cladantha","c","6"
"758","TAM-06","Inga chartacea","d","23"
"759","ACJ-01","Gynoxys nitida","f","2"
"760","TAM-06","Virola elongata","d","13"
"761","PAN-03","Mollinedia killipii","d","18"
"762","TAM-06","Duguetia spixiana","f","35"
"763","TAM-05","Guatteria indet","d","35"
"764","TAM-05","Miconia dolichorrhyncha","d","73"
"765","TAM-05","Guatteria citriodora","d","35"
"766","SPD-01","Alchornea brittonii","c","15"
"767","TAM-05","Chimarrhis indet","f","65"
"768","TAM-05","Terminalia amazonia","i","1"
"769","TAM-05","Moronobea coccinea","e","12"
"770","TAM-05","Ocotea cuprea","c","13"
"771","SPD-02","Miconia axinaeoides","d","73"
"772","SPD-02","Chrysochlamys ulei","f","166"
"773","TAM-05","Ouratea castaneifolia","c","14"
"774","TAM-05","Bertholletia excelsa","e","12"
"775","SPD-02","Elaeagia myriantha","d","16"
"776","TAM-06","Guatteria alutacea","d","35"
"777","TAM-05","Lacistema aggregatum","h","5"
"778","TRU-04","Hedyosmum translucidum","b","10"
"779","TAM-05","Bellucia pentamera","b","18"
"780","SPD-02","Ficus maxima","a","6"
"781","SPD-01","Licania macrocarpa","d","12"
"782","SPD-02","Byrsonima poeppigiana","h","1"
"783","TAM-06","Iryanthera indet","f","13"
"784","PAN-03","Licania micrantha","d","12"
"785","TAM-06","Virola surinamensis","d","13"
"786","PAN-03","Sloanea latifolia","c","32"
"787","ESP-01","Cinchona calisaya","b","17"
"788","TAM-05","Inga acuminata","d","23"
"789","TAM-06","Iryanthera laevis","f","13"
"790","SPD-02","Piper obliquum","h","9"
"791","PAN-02","Sloanea spathulata","d","32"
"792","TAM-06","Leonia crassa","d","12"
"793","TAM-06","Prunus detrita","d","39"
"794","SPD-02","Prunus detrita","d","39"
"795","TAM-06","Trichilia pallida","f","9"
"796","ACJ-01","Myrsine andina","b","23"
"797","TAM-05","Aspidosperma tambopatense","f","10"
"798","TAM-06","Trichilia septentrionalis","f","9"
"799","TAM-05","Pouteria torta","a","6"
"800","ESP-01","Weinmannia reticulata","b","18"
"801","PAN-03","Micropholis egensis","c","18"
"802","TAM-06","Pterocarpus amazonicus","d","3"
"803","SPD-02","Lacistema aggregatum","h","5"
"804","TAM-05","Talisia mollis","i","28"
"805","PAN-03","Cyathea andina","d","24"
"806","PAN-03","Elaeoluma nuda","e","18"
"807","TAM-06","Caraipa myrcioides","f","12"
"808","SPD-01","Miconia micropetala","b","18"
"809","PAN-03","Sloanea pubescens","c","32"
"810","SPD-01","Bathysa peruviana","e","16"
"811","TAM-06","Oxandra acuminata","f","35"
"812","SPD-02","Inga vismiifolia","d","23"
"813","ESP-01","Symplocos psiloclada","c","15"
"814","TAM-05","Dialium guianense","e","6"
"815","PAN-03","Enterolobium indet","e","15"
"816","PAN-03","Amaioua corymbosa","e","20"
"817","TAM-06","Licania harlingii","d","12"
"818","TAM-06","Inga leiocalycina","d","23"
"819","SPD-02","Oreopanax indet","d","20"
"820","TAM-06","Guapira myrtiflora","i","2"
"821","TAM-06","Manilkara inundata","f","46"
"822","TAM-05","Licaria cannella","e","13"
"823","TAM-06","Endlicheria ruforamula","d","18"
"824","TAM-06","Pouteria trilocularis","d","18"
"825","TAM-06","Rinorea indet","f","12"
"826","TAM-06","Tachigali vasquezii","d","27"
"827","SPD-01","Alchornea anamariae","c","15"
"828","PAN-02","Couratari guianensis","f","12"
"829","PAN-03","Endlicheria indet","d","18"
"830","SPD-02","Mezilaurus campaucola","e","25"
"831","PAN-03","Prunus debilis","b","15"
"832","TAM-06","Rollinia micrantha","f","35"
"833","TAM-06","Piper indet","h","9"
"834","TAM-05","Alibertia indet","f","65"
"835","TAM-06","Neea spruceana","i","2"
"836","TAM-05","Virola indet","d","13"
"837","TAM-06","Ampelocera verrucosa",NA,"0"
"838","TAM-06","Nectandra globosa","d","7"
"839","PAN-03","Calophyllum indet","d","12"
"840","SPD-02","Guarea kunthiana","a","9"
"841","TAM-06","Compsoneura indet","f","13"
"842","SPD-01","Miconia lamprophylla","d","73"
"843","TAM-06","Vismia cayennensis","d","10"
"844","TAM-06","Jacaranda copaia","d","12"
"845","TAM-05","Inga indet","b","12"
"846","SPD-02","Eschweilera baguensis","d","12"
"847","PAN-02","Aspidosperma indet","f","10"
"848","TAM-06","Acalypha mapirensis","f","123"
"849","PAN-03","Trichilia havanensis","f","9"
"850","TAM-06","Geonoma brongniartii","h","9"
"851","SPD-01","Weinmannia lechleriana","d","115"
"852","SPD-01","Miconia coelestis","d","73"
"853","TAM-06","Siparuna decipiens","h","2"
"854","TAM-06","Prunus amplifolia","d","39"
"855","TAM-05","Socratea exorrhiza","i","23"
"856","TAM-06","Plinia indet","i","41"
"857","SPD-01","Calatola costaricensis","i","1"
"858","TAM-05","Inga acrocephala","d","23"
"859","TAM-06","Dialium guianense","f","56"
"860","TAM-06","Xylosma intermedia","h","4"
"861","PAN-03","Ferdinandusa indet","e","20"
"862","TAM-06","Ampelocera indet",NA,"0"
"863","TAM-05","Mouriri apiranga","f","113"
"864","TAM-06","Cordia lomatoloba","h","13"
"865","TAM-06","Ceiba insignis","f","6"
"866","TAM-06","Naucleopsis ternstroemiiflora","f","85"
"867","TAM-06","Trema integerrima",NA,"0"
"868","TAM-06","Inga tomentosa","d","23"
"869","SPD-02","Ficus apollinaris","c","6"
"870","SPD-02","Neea divaricata","i","2"
"871","TAM-06","Allophylus pilosus","i","28"
"872","ESP-01","Myrsine indet","c","9"
"873","PAN-03","Eugenia biflora","h","25"
"874","TAM-05","Inga leiocalycina","d","23"
"875","TAM-06","Quararibea indet","f","6"
"876","TAM-06","Astronium lecointei","f","32"
"877","PAN-03","Chrysophyllum indet","b","10"
"878","TAM-06","Ormosia panamensis","f","56"
"879","TAM-06","Inga oerstediana","d","23"
"880","TAM-05","Tachigali vasquezii","d","27"
"881","TAM-06","Guarea kunthiana","b","9"
"882","TAM-05","Nectandra cuspidata","d","7"
"883","TAM-05","Trattinnickia peruviana","f","12"
"884","TAM-05","Brosimum rubescens","c","6"
"885","TAM-06","Trichilia poeppigii","f","9"
"886","TAM-05","Heisteria spruceana","i","5"
"887","TAM-06","Chimarrhis hookeri","f","65"
"888","TAM-05","Rollinia pittieri","f","35"
"889","TAM-06","Astrocaryum chonta","i","23"
"890","PAN-03","Aspidosperma excelsum","f","10"
"891","SPD-01","Cissus trianae","h","2"
"892","TAM-06","Gloeospermum sphaerocarpum","f","12"
"893","TAM-06","Pleurothyrium williamsii","f","118"
"894","TAM-05","Leonia racemosa","c","12"
"895","TAM-06","Cordia indet","h","13"
"896","PAN-03","Talisia indet","i","28"
"897","SPD-01","Magnolia amazonica","h","4"
"898","TAM-06","Oxandra riedeliana","f","35"
"899","SPD-01","Miconia dolichorrhyncha","d","73"
"900","PAN-03","Pouteria torta","b","18"
"901","SPD-02","Lissocarpa indet","b","19"
"902","TAM-06","Brosimum lactescens","b","6"
"903","SPD-02","Unonopsis guatterioides","e","18"
"904","TAM-05","Peltogyne floribunda","e","6"
"905","TAM-05","Aspidosperma desmanthum","f","10"
"906","PAN-02","Qualea acuminata","d","9"
"907","SPD-02","Dussia tessmannii","e","12"
"908","TAM-05","Eschweilera juruensis","c","12"
"909","PAN-02","Pourouma bicolor","a","14"
"910","PAN-02","Pourouma minor","b","6"
"911","SPD-02","Ocotea longifolia","d","66"
"912","PAN-02","Ocotea javitensis","c","26"
"913","PAN-03","Sloanea indet","c","32"
"914","TAM-05","Virola multinervia","d","13"
"915","TAM-06","Nectandra cissiflora","d","7"
"916","PAN-02","Ocotea bofo","a","9"
"917","TAM-05","Nectandra pulverulenta","d","7"
"918","PAN-02","Sloanea laxiflora","d","32"
"919","PAN-02","Humiriastrum colombianum",NA,"0"
"920","PAN-03","Ocotea javitensis","c","9"
"921","SPD-02","Sapium indet","c","10"
"922","PAN-02","Xylopia calophylla","f","35"
"923","TAM-05","Glycydendron amazonicum","f","123"
"924","PAN-02","Chrysophyllum argenteum","d","10"
"925","TAM-06","Cecropia sciadophylla","d","7"
"926","PAN-02","Qualea indet","d","9"
"927","PAN-03","Inga ruiziana","d","23"
"928","TRU-04","Ruagea subviridiflora","f","9"
"929","PAN-02","Inga thibaudiana","a","11"
"930","PAN-03","Schefflera sprucei","f","25"
"931","TAM-06","Inga acreana","d","23"
"932","PAN-02","Meliosma loretoyacuensis","d","36"
"933","SPD-01","Prunus integrifolia","b","18"
"934","TRU-04","Cyathea divergens","c","15"
"935","PAN-03","Annona indet","f","35"
"936","TAM-05","Tetragastris altissima","f","12"
"937","PAN-02","Pouteria reticulata","d","18"
"938","TAM-06","Gallesia integrifolia",NA,"0"
"939","ACJ-01","Myrsine dependens","d","71"
"940","PAN-02","Herrania nitida","f","6"
"941","PAN-03","Meliosma indet","b","6"
"942","PAN-02","Pouteria coriacea","d","18"
"943","TAM-05","Cordia ucayaliensis","h","13"
"944","PAN-03","Inga gracilifolia","d","23"
"945","TAM-05","Nectandra longifolia","d","7"
"946","PAN-02","Andira inermis","e","11"
"947","PAN-02","Bathysa australis","f","65"
"948","TAM-06","Diplotropis indet","f","56"
"949","TAM-06","Rollinia pittieri","f","35"
"950","TAM-06","Coccoloba densifrons","h","5"
"951","SPD-02","Prunus indet","b","6"
"952","PAN-02","Hirtella triandra","f","24"
"953","SPD-01","Tovomita indet","e","19"
"954","SPD-02","Byrsonima indet","h","1"
"955","PAN-02","Ocotea obovata","c","26"
"956","PAN-02","Doliocarpus dentatus","i","4"
"957","TAM-05","Inga coriacea","d","23"
"958","TAM-05","Pouteria caimito","c","6"
"959","SPD-01","Matayba guianensis","h","1"
"960","PAN-02","Piptadenia cuzcoensis","e","11"
"961","PAN-02","Cecropia sciadophylla","d","7"
"962","ESP-01","Hedyosmum scabrum","c","10"
"963","SPD-01","Prunus detrita","c","6"
"964","SPD-02","Sloanea fragrans","d","32"
"965","TAM-05","Pithecellobium corymbosum","e","6"
"966","TAM-06","Inga coruscans","d","23"
"967","TAM-05","Oxandra xylopioides","f","35"
"968","PAN-02","Casearia arborea","h","22"
"969","TAM-05","Crepidospermum indet","f","12"
"970","TAM-06","Swartzia leptopetala","f","56"
"971","SPD-01","Licaria indet","e","12"
"972","SPD-01","Dioicodendron dioicum","e","16"
"973","TAM-05","Jacaranda obtusifolia","d","12"
"974","PAN-03","Miconia punctata","d","73"
"975","WAY-01","Ageratina indet","e","2"
"976","SPD-02","Jacaranda glabra","b","12"
"977","PAN-02","Pseudolmedia laevigata","b","6"
"978","TAM-06","Pouteria guianensis","d","18"
"979","PAN-03","Hebepetalum humiriifolium","b","18"
"980","ESP-01","Meliosma glabrata","c","30"
"981","TAM-06","Tontelea attenuata","i","14"
"982","PAN-02","Piptadenia boliviana","e","11"
"983","PAN-03","Clusia indet","b","29"
"984","WAY-01","Meliosma frondosa","b","30"
"985","SPD-01","Miconia galactantha","d","73"
"986","PAN-02","Heisteria duckei","i","5"
"987","TAM-06","Amaioua corymbosa","f","65"
"988","TAM-05","Sloanea indet","d","32"
"989","PAN-02","Pouteria torta","b","18"
"990","TAM-05","Scheelea butyracea","i","23"
"991","PAN-02","Ferdinandusa chlorantha","f","65"
"992","PAN-03","Persea indet","b","18"
"993","TRU-04","Clethra indet","d","20"
"994","TAM-06","Anthodiscus klugii","d","11"
"995","TAM-05","Neea indet","i","2"
"996","SPD-02","Meliosma boliviensis","d","36"
"997","TAM-06","Quiina florida","f","14"
"998","SPD-02","Endlicheria krukovii","c","18"
"999","PAN-02","Sloanea laurifolia","d","32"
"1000","TAM-06","Aniba panurensis","f","118"
"1001","PAN-02","Meliosma herbertii","d","36"
"1002","PAN-02","Pouteria juruana","d","18"
"1003","SPD-02","Myrcia indet","h","2"
"1004","TAM-05","Pleurothyrium vasquezii","e","13"
"1005","PAN-02","Bauhinia indet","e","11"
"1006","TAM-05","Dilodendron elegans","h","1"
"1007","TAM-06","Hymenaea oblongifolia","f","56"
"1008","PAN-02","Hieronyma indet","d","6"
"1009","PAN-03","Alibertia indet","e","20"
"1010","TAM-05","Cordia indet","h","13"
"1011","PAN-02","Micropholis guyanensis","b","18"
"1012","PAN-02","Sarcaulus indet","f","46"
"1013","TAM-06","Swartzia indet","f","56"
"1014","TRU-04","Clusia trochiformis","b","17"
"1015","PAN-02","Hirtella indet","f","24"
"1016","PAN-02","Inga alba","c","11"
"1017","PAN-03","Trichilia indet","f","9"
"1018","TAM-05","Licania octandra","c","12"
"1019","TAM-05","Coussapoa trinervia","d","30"
"1020","PAN-02","Miconia modica","d","73"
"1021","SPD-02","Nectandra cissiflora","c","7"
"1022","PAN-02","Couepia ulei","f","24"
"1023","TAM-05","Aniba taubertiana","e","13"
"1024","TAM-06","Dipteryx odorata","f","56"
"1025","TAM-06","Ficus maxima","b","6"
"1026","TAM-06","Triplaris americana","i","19"
"1027","TAM-05","Cupania scrobiculata","h","7"
"1028","PAN-03","Eugenia feijoi","h","25"
"1029","PAN-03","Heisteria duckei","i","5"
"1030","PAN-02","Inga heterophylla","c","11"
"1031","TAM-05","Astronium lecointei","f","32"
"1032","TAM-05","Swartzia macrostachya","e","6"
"1033","PAN-02","Parinari indet","d","12"
"1034","SPD-02","Parinari parilis","b","12"
"1035","PAN-02","Virola elongata","d","13"
"1036","TAM-06","Genipa americana","f","65"
"1037","TAM-05","Neea macrophylla","i","2"
"1038","TAM-05","Miconia impetiolaris","d","73"
"1039","PAN-03","Siphoneugena indet","i","41"
"1040","PAN-02","Lonchocarpus seorsus","e","11"
"1041","PAN-03","Ferdinandusa guainiae","e","20"
"1042","PAN-03","Dacryodes peruviana","f","12"
"1043","SPD-02","Heliocarpus americanus","f","6"
"1044","WAY-01","Meliosma indet","b","6"
"1045","SPD-01","Vismia tomentosa","d","10"
"1046","PAN-02","Ecclinusa lanceolata","f","46"
"1047","ESP-01","Hedyosmum peruvianum","c","10"
"1048","SPD-02","Psychotria indet","e","12"
"1049","PAN-02","Ocotea insularis","a","17"
"1050","WAY-01","Dicksonia sellowiana","h","2"
"1051","ESP-01","Persea mutisii","d","27"
"1052","SPD-01","Beilschmiedia tovarensis","e","12"
"1053","TAM-06","Garcinia madruno","f","166"
"1054","ESP-01","Dicksonia sellowiana","h","2"
"1055","PAN-02","Helicostylis elegans","e","17"
"1056","PAN-02","Protium sagotianum","d","12"
"1057","TAM-06","Laetia corymbulosa","i","17"
"1058","TAM-06","Cinnamomum triplinerve","f","118"
"1059","PAN-02","Inga brachyrhachis","c","11"
"1060","PAN-03","Pourouma guianensis","c","12"
"1061","PAN-02","Ecclinusa ramiflora","f","46"
"1062","PAN-02","Pouteria bangii","d","18"
"1063","PAN-02","Inga gracilifolia","c","11"
"1064","TAM-05","Hymenaea parvifolia","e","6"
"1065","TAM-06","Schizolobium parahyba","f","56"
"1066","SPD-02","Coussarea paniculata","e","12"
"1067","PAN-02","Pouteria indet","d","18"
"1068","SPD-02","Morus insignis","e","21"
"1069","PAN-02","Dussia tessmannii","e","11"
"1070","PAN-03","Beilschmiedia tovarensis","e","9"
"1071","SPD-02","Pleurothyrium cuneifolium","e","25"
"1072","WAY-01","Podocarpus oleifolius",NA,"0"
"1073","ACJ-01","Prunus huantensis","d","39"
"1074","SPD-02","Ficus trigona","c","6"
"1075","PAN-02","Licania micrantha","d","12"
"1076","PAN-03","Protium opacum","d","12"
"1077","TAM-06","Brosimum utile","d","6"
"1078","PAN-03","Myrcia fallax","h","2"
"1079","TRU-04","Symplocos indet","d","46"
"1080","TAM-06","Triplaris indet","i","19"
"1081","TAM-05","Zygia indet","e","6"
"1082","WAY-01","Monnina connectisepala","i","1"
"1083","WAY-01","Cyathea pallescens","d","24"
"1084","PAN-02","Inga auristellae","c","11"
"1085","TAM-06","Beilschmiedia indet","f","118"
"1086","WAY-01","Cyathea indet","b","9"
"1087","PAN-02","Miconia coelestis","d","73"
"1088","PAN-03","Inga cordatoalata","d","23"
"1089","SPD-02","Cupania rubiginosa","h","7"
"1090","TAM-06","Trichilia indet","f","9"
"1091","WAY-01","Nectandra indet","d","7"
"1092","SPD-02","Ruagea glabra","e","9"
"1093","PAN-02","Dendrobangia boliviana",NA,"0"
"1094","SPD-02","Perrottetia sessiliflora","a","3"
"1095","SPD-02","Inga edulis","d","23"
"1096","TAM-06","Prunus indet","b","6"
"1097","PAN-03","Virola elongata","d","13"
"1098","PAN-02","Myrcia splendens","h","2"
"1099","PAN-02","Persea indet","b","18"
"1100","PAN-03","Maytenus indet","h","5"
"1101","PAN-02","Helicostylis tomentosa","e","17"
"1102","PAN-03","Guapira noxia","i","2"
"1103","SPD-02","Inga pezizifera","d","23"
"1104","PAN-02","Cecropia strigosa","d","7"
"1105","PAN-02","Cecropia distachya","d","7"
"1106","SPD-02","Coussarea ecuadorensis","e","12"
"1107","SPD-02","Styloceras brokawii",NA,"0"
"1108","TRU-04","Gaiadendron punctatum","h","1"
"1109","SPD-02","Garcinia madruno","f","166"
"1110","TAM-05","Casearia javitensis","h","22"
"1111","WAY-01","Schefflera indet","f","25"
"1112","PAN-02","Iryanthera juruensis","f","13"
"1113","ESP-01","Clethra cuneata","b","20"
"1114","PAN-02","Cordia mexiana","h","13"
"1115","PAN-02","Pouteria sagotiana","d","18"
"1116","SPD-02","Miconia peruviana","d","73"
"1117","SPD-02","Urera baccifera","e","39"
"1118","WAY-01","Symplocos psiloclada","d","46"
"1119","SPD-01","Myrcia mollis","h","2"
"1120","PAN-02","Pseudolmedia laevis","c","17"
"1121","PAN-03","Pourouma cuspidata","c","12"
"1122","PAN-02","Brosimum rubescens","d","6"
"1123","TRU-04","Dicksonia sellowiana","h","2"
"1124","SPD-02","Guatteria indet","c","18"
"1125","ESP-01","Vallea stipularis","f","32"
"1126","PAN-02","Cordia ulei","h","13"
"1127","PAN-02","Iriartea deltoidea","i","23"
"1128","PAN-03","Schefflera morototoni","f","25"
"1129","PAN-03","Lacmellea peruviana","f","10"
"1130","PAN-03","Tetragastris panamensis","f","12"
"1131","PAN-03","Mollinedia lanceolata","b","18"
"1132","PAN-03","Aniba panurensis","e","9"
"1133","SPD-02","Ampelocera edentula",NA,"0"
"1134","PAN-02","Guarea indet","d","9"
"1135","SPD-02","Hasseltia floribunda","i","17"
"1136","WAY-01","Hesperomeles indet","c","15"
"1137","PAN-02","Myrcia minutiflora","h","2"
"1138","PAN-03","Palicourea guianensis","e","20"
"1139","TAM-06","Aspidosperma tambopatense","f","10"
"1140","PAN-02","Sloanea robusta","d","32"
"1141","PAN-02","Pourouma cecropiifolia","c","17"
"1142","PAN-02","Ormosia indet","e","11"
"1143","PAN-02","Inga capitata","c","11"
"1144","PAN-02","Micropholis egensis","d","18"
"1145","PAN-02","Cybianthus timanae","f","71"
"1146","SPD-02","Miconia astroplocama","d","73"
"1147","TRU-04","Plinia indet","i","41"
"1148","PAN-02","Sloanea sinemariensis","d","32"
"1149","SPD-02","Guettarda crispiflora","e","12"
"1150","PAN-02","Quararibea wittii","f","6"
"1151","SPD-02","Nectandra lineata","c","7"
"1152","SPD-02","Inga indet","b","12"
"1153","PAN-02","Warszewiczia coccinea","f","65"
"1154","SPD-01","Virola sebifera","b","13"
"1155","PAN-02","Chrysophyllum manaosense","d","10"
"1156","SPD-01","Psychotria indet","e","16"
"1157","PAN-02","Sloanea obtusifolia","d","32"
"1158","SPD-02","Dendropanax weberbaueri","d","5"
"1159","PAN-02","Tachigali poeppigiana","d","27"
"1160","SPD-01","Clethra revoluta","d","20"
"1161","SPD-01","Meliosma boliviensis","c","6"
"1162","SPD-01","Ilex nervosa","c","11"
"1163","PAN-02","Machaerium duckeanum","e","11"
"1164","PAN-02","Faramea torquata","b","12"
"1165","PAN-02","Guatteria duodecima","d","35"
"1166","SPD-02","Urera caracasana","e","39"
"1167","PAN-02","Sloanea meianthera","b","14"
"1168","TAM-06","Clarisia biflora","d","6"
"1169","PAN-02","Annona ambotay","f","35"
"1170","PAN-02","Protium spruceanum","d","12"
"1171","SPD-02","Gordonia fruticosa","b","26"
"1172","SPD-02","Faramea bangii","d","12"
"1173","TAM-06","Casearia ulmifolia","h","22"
